frequency,raw
868.62,-0.48
877.31,-0.40
886.08,-0.34
894.94,-0.31
903.89,-0.28
912.93,-0.22
922.06,-0.15
931.28,-0.08
940.59,-0.04
950.00,-0.04
959.50,-0.04
969.09,-0.04
978.78,-0.04
988.57,-0.04
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.13
1039.00,0.15
1049.39,0.17
1059.88,0.21
1070.48,0.25
1081.19,0.29
1092.00,0.33
1102.92,0.37
1113.95,0.41
1125.09,0.46
1136.34,0.52
1147.70,0.56
1159.18,0.59
1170.77,0.61
1182.48,0.63
1194.30,0.63
1206.25,0.63
1218.31,0.63
1230.49,0.63
1242.80,0.63
1255.22,0.61
1267.78,0.59
1280.45,0.57
1293.26,0.52
1306.19,0.47
1319.25,0.42
1332.45,0.38
1345.77,0.33
1359.23,0.29
1372.82,0.22
1386.55,0.14
1400.41,0.07
1414.42,-0.06
1428.56,-0.19
1442.85,-0.32
1457.28,-0.45
1471.85,-0.58
1486.57,-0.71
1501.43,-0.82
1516.45,-0.94
1531.61,-1.04
1546.93,-1.09
1562.40,-1.14
1578.02,-1.19
1593.80,-1.23
1609.74,-1.26
1625.84,-1.26
1642.10,-1.22
1658.52,-1.19
1675.10,-1.14
1691.85,-1.09
1708.77,-1.04
1725.86,-0.92
1743.12,-0.79
1760.55,-0.66
1778.15,-0.47
1795.94,-0.26
1813.90,-0.05
1832.03,0.16
1850.36,0.37
1868.86,0.57
1887.55,0.74
1906.42,0.91
1925.49,1.06
1944.74,1.19
1964.19,1.32
1983.83,1.44
2003.67,1.53
2023.71,1.62
2043.94,1.72
2064.38,1.82
2085.03,1.93
2105.88,2.03
2126.94,2.13
2148.20,2.24
2169.69,2.33
2191.38,2.41
2213.30,2.49
2235.43,2.55
2257.78,2.62
2280.36,2.68
2303.17,2.74
2326.20,2.81
2349.46,2.87
2372.95,2.88
2396.68,2.88
2420.65,2.88
2444.86,2.88
2469.31,2.88
2494.00,2.88
2518.94,2.88
2544.13,2.88
2569.57,2.86
2595.27,2.79
2621.22,2.73
2647.43,2.65
2673.90,2.56
2700.64,2.47
2727.65,2.37
2754.93,2.25
2782.48,2.13
2810.30,2.02
2838.40,1.90
2866.79,1.79
2895.46,1.68
2924.41,1.58
2953.65,1.48
2983.19,1.39
3013.02,1.31
3043.15,1.23
3073.58,1.18
3104.32,1.13
3135.36,1.08
3166.72,1.08
3198.38,1.08
3230.37,1.08
3262.67,1.08
3295.30,1.08
3328.25,1.08
3361.53,1.08
3395.15,1.08
3429.10,1.08
3463.39,1.08
3498.03,1.08
3533.01,1.08
3568.34,1.08
3604.02,1.08
3640.06,1.04
3676.46,0.97
3713.22,0.91
3750.36,0.84
3787.86,0.78
3825.74,0.72
3864.00,0.62
3902.64,0.52
3941.66,0.42
3981.08,0.30
4020.89,0.18
4061.10,0.06
4101.71,-0.09
4142.73,-0.25
4184.15,-0.40
4226.00,-0.54
4268.26,-0.69
4310.94,-0.81
4354.05,-0.86
4397.59,-0.91
4441.56,-0.92
4485.98,-0.85
4530.84,-0.78
4576.15,-0.47
4621.91,-0.16
4668.13,0.17
4714.81,0.49
4761.96,0.84
4809.58,1.18
4857.67,1.44
4906.25,1.69
4955.31,1.93
5004.87,2.16
5054.91,2.40
5105.46,2.56
5156.52,2.72
5208.08,2.87
5260.16,3.01
5312.77,3.14
5365.89,3.26
5419.55,3.34
5473.75,3.42
5528.49,3.50
5583.77,3.55
5639.61,3.54
5696.00,3.53
5752.96,3.49
5810.49,3.41
5868.60,3.33
5927.28,3.26
5986.56,3.20
6046.42,3.13
6106.89,3.11
6167.96,3.11
6229.64,3.11
6291.93,3.11
6354.85,3.11
6418.40,3.11
6482.58,3.11
6547.41,3.11
6612.88,3.11
6679.01,3.11
6745.80,3.11
6813.26,3.11
6881.39,3.07
6950.21,3.02
7019.71,2.98
7089.91,2.90
7160.81,2.83
7232.41,2.73
7304.74,2.56
7377.79,2.39
7451.56,2.22
7526.08,2.05
7601.34,1.88
7677.35,1.61
7754.13,1.33
7831.67,1.02
7909.98,0.70
7989.08,0.37
8068.98,-0.04
8149.67,-0.44
8231.16,-0.80
8313.47,-1.16
8396.61,-1.57
8480.57,-1.95
8565.38,-2.31
8651.03,-2.65
8737.54,-2.98
8824.92,-3.31
8913.17,-3.54
9002.30,-3.77
9092.32,-4.00
9183.25,-4.18
9275.08,-4.36
9367.83,-4.52
9461.51,-4.63
9556.12,-4.73
9651.68,-4.83
9748.20,-4.92
9845.68,-5.02
9944.14,-5.10
10043.58,-5.16
10144.02,-5.22
10245.46,-5.29
10347.91,-5.35
10451.39,-5.42
